업체명,물품분류명,계약유형,금액
주식회사 홍석,광송신기또는수신기,제3자단가계약,132000
주식회사 홍석,광섬유케이블어셈블리,제3자단가계약,26880
주식회사 홍석,광분배함,제3자단가계약,94600
주식회사 홍석,광분배함,제3자단가계약,164300
주식회사 홍석,상자,제3자단가계약,717000
주식회사 비알인포텍,광섬유케이블어셈블리,제3자단가계약,20000
주식회사 비알인포텍,전원공급장치,제3자단가계약,1096000
주식회사 비알인포텍,하드디스크드라이브,제3자단가계약,6912000
주식회사 비알인포텍,LCD패널또는모니터,제3자단가계약,1263600
주식회사 비알인포텍,유선송신기또는수신기,제3자단가계약,379000
주식회사 비알인포텍,광송신기또는수신기,제3자단가계약,132000
주식회사 비알인포텍,네트워크스위치,제3자단가계약,554000
주식회사 비알인포텍,네트워크스위치,제3자단가계약,8370000
주식회사 비알인포텍,네트워크시스템장비용랙,제3자단가계약,2500000
주식회사 비알인포텍,네트워크시스템장비용랙,제3자단가계약,0
주식회사 비알인포텍,네트워크시스템장비용랙,제3자단가계약,950000
주식회사 비알인포텍,광분배함,제3자단가계약,73700
주식회사 비알인포텍,광분배함,제3자단가계약,164300
주식회사 비알인포텍,카메라받침대,제3자단가계약,526000
주식회사 비알인포텍,카메라받침대,제3자단가계약,11500000
주식회사 비알인포텍,보안용카메라,제3자단가계약,14256000
주식회사 비알인포텍,보안용카메라,제3자단가계약,81702000
주식회사 비알인포텍,영상감시장치,제3자단가계약,1871000
주식회사 비알인포텍,디지털비디오레코더,제3자단가계약,17824000
주식회사 비알인포텍,디지털비디오레코더,제3자단가계약,3960000
주식회사 제이한테크,금속기둥,제3자단가계약,0
주식회사 제노시스,네트워크스위치,제3자단가계약,0
주식회사 제노시스,광섬유케이블어셈블리,제3자단가계약,0
주식회사 제노시스,광분배함,제3자단가계약,0
주식회사 제노시스,서지방지장치,제3자단가계약,0
주식회사 제노시스,서지방지장치,제3자단가계약,0
주식회사 제노시스,카메라받침대,제3자단가계약,0
주식회사 제노시스,영상감시장치,제3자단가계약,0
주식회사 제노시스,누전차단기,제3자단가계약,0
주식회사 제노시스,보안용카메라,제3자단가계약,0
주식회사 제노시스,보안용카메라,제3자단가계약,0
주식회사 제노시스,스피커,제3자단가계약,0
주식회사 제노시스,네트워크스위치,제3자단가계약,0
주식회사 디라직,오디오장비커넥터및스테이지박스,제3자단가계약,0
주식회사 홍석,영상감시장치,제3자단가계약,68151000
주식회사 홍석,서지방지장치,제3자단가계약,98100
주식회사 홍석,광분배함,제3자단가계약,283800
주식회사 홍석,디지털비디오레코더,제3자단가계약,9052000
주식회사 홍석,네트워크시스템장비용랙,제3자단가계약,1950000
주식회사 홍석,LCD패널또는모니터,제3자단가계약,323000
주식회사 인텔리빅스,해석또는과학소프트웨어,제3자단가계약,17280000
주식회사 비알인포텍,영상감시장치,제3자단가계약,0
주식회사 비알인포텍,영상감시장치,제3자단가계약,0
주식회사 비알인포텍,영상감시장치,제3자단가계약,0
주식회사 비알인포텍,광분배함,제3자단가계약,0
주식회사 비알인포텍,광분배함,제3자단가계약,0
주식회사 비알인포텍,네트워크시스템장비용랙,제3자단가계약,0
주식회사 비알인포텍,누전차단기,제3자단가계약,0
주식회사 비알인포텍,디지털비디오레코더,제3자단가계약,0
주식회사 비알인포텍,서지방지장치,제3자단가계약,0
주식회사 비알인포텍,전원공급장치,제3자단가계약,0
주식회사 비알인포텍,광섬유케이블어셈블리,제3자단가계약,0
주식회사 비알인포텍,카메라받침대,제3자단가계약,0
주식회사 비알인포텍,LCD패널또는모니터,제3자단가계약,0
주식회사 비알인포텍,상자,제3자단가계약,0
주식회사 비알인포텍,전원공급장치,제3자단가계약,0
주식회사 비알인포텍,하드디스크드라이브,제3자단가계약,0
주식회사 비알인포텍,무선랜액세스포인트,제3자단가계약,0
주식회사 비알인포텍,광송신기또는수신기,제3자단가계약,0
주식회사 비알인포텍,네트워크스위치,제3자단가계약,0
주식회사 비알인포텍,네트워크스위치,제3자단가계약,0
주식회사 비알인포텍,안내판,제3자단가계약,0
주식회사 비알인포텍,안내판,제3자단가계약,0
주식회사 디라직,무선마이크장치,제3자단가계약,0
주식회사 새움,영상감시장치,제3자단가계약,75720000
주식회사 새움,네트워크스위치,제3자단가계약,4125000
주식회사 새움,특수목적컴퓨터,제3자단가계약,7345000
