사업자등록번호,업체명,물품분류명,납품요구번호,일자,월,전체계약금액,영상감시장치_계약금액,영상감시여부,MAS여부,계약종류_상세
1298623254,주식회사 제노시스,보안용카메라,R25TB00678812,20260105,1월,2700000.0,2700000.0,Y,Y,MAS (자동추론)
1298623254,주식회사 제노시스,보안용카메라,R25TB00678812,20260105,1월,-17550000.0,-17550000.0,Y,Y,MAS (자동추론)
1298623254,주식회사 제노시스,보안용카메라,R25TB00678812,20260105,1월,-10258700.0,-10258700.0,Y,Y,MAS (자동추론)
1298623254,주식회사 제노시스,영상감시장치,R25TB00678812,20260105,1월,3843000.0,3843000.0,Y,N,우수조달/일반경쟁
1298623254,주식회사 제노시스,디지털비디오레코더,R25TB00678812,20260105,1월,-10258700.0,-10258700.0,Y,Y,MAS (자동추론)
2148632482,주식회사 시큐인포,서지흡수기,R25TB00789369,20260116,1월,-1189440.0,-1189440.0,Y,Y,MAS (수동입력)
2148632482,주식회사 시큐인포,네트워크시스템장비용랙,R25TB00789369,20260116,1월,-1189440.0,-1189440.0,Y,Y,MAS (수동입력)
2148632482,주식회사 시큐인포,카메라브래킷,R25TB00789369,20260116,1월,-1189440.0,-1189440.0,Y,Y,MAS (수동입력)
2148632482,주식회사 시큐인포,영상감시장치,R25TB00789369,20260116,1월,-1189440.0,-1189440.0,Y,Y,MAS (수동입력)
2148632482,주식회사 시큐인포,안내판,R25TB00789369,20260116,1월,-1189440.0,-1189440.0,Y,Y,MAS (수동입력)
1348633147,(주)현명,서지흡수기,R25TB00821748,20260128,1월,19793600.0,19793600.0,Y,Y,MAS (자동추론)
1348633147,(주)현명,하드디스크드라이브,R25TB00821748,20260128,1월,3003600.0,3003600.0,Y,Y,MAS (자동추론)
1348633147,(주)현명,액정모니터,R25TB00821748,20260128,1월,-302000.0,-302000.0,Y,Y,MAS (자동추론)
1348633147,(주)현명,송신기,R25TB00821748,20260128,1월,19793600.0,19793600.0,Y,Y,MAS (자동추론)
1348633147,(주)현명,네트워크스위치,R25TB00821748,20260128,1월,1775000.0,1775000.0,Y,Y,MAS (자동추론)
1348633147,(주)현명,보안용카메라,R25TB00821748,20260128,1월,8080000.0,8080000.0,Y,Y,MAS (자동추론)
1348633147,(주)현명,영상감시장치,R25TB00821748,20260128,1월,1021000.0,1021000.0,Y,N,우수조달/일반경쟁
1348633147,(주)현명,디지털비디오레코더,R25TB00821748,20260128,1월,-7844000.0,-7844000.0,Y,Y,MAS (자동추론)
1348633147,(주)현명,디지털비디오레코더,R25TB00821748,20260128,1월,14060000.0,14060000.0,Y,Y,MAS (자동추론)
4168144274,주식회사 세오,전원공급장치,R25TB00888671,20260126,1월,-411000.0,-411000.0,Y,Y,MAS (자동추론)
4168144274,주식회사 세오,하드디스크드라이브,R25TB00888671,20260126,1월,-411000.0,-411000.0,Y,Y,MAS (자동추론)
4168144274,주식회사 세오,액정모니터,R25TB00888671,20260126,1월,-411000.0,-411000.0,Y,Y,MAS (자동추론)
4168144274,주식회사 세오,송신기,R25TB00888671,20260126,1월,-411000.0,-411000.0,Y,Y,MAS (자동추론)
4168144274,주식회사 세오,네트워크시스템장비용랙,R25TB00888671,20260126,1월,-411000.0,-411000.0,Y,Y,MAS (자동추론)
4168144274,주식회사 세오,디지털비디오레코더,R25TB00888671,20260126,1월,-411000.0,-411000.0,Y,Y,MAS (자동추론)
1298623254,주식회사 제노시스,영상감시장치,R25TB00919382,20260122,1월,-32300000.0,-32300000.0,Y,Y,MAS (수동입력)
1298623254,주식회사 제노시스,전원공급장치,R25TB00920334,20260122,1월,-7406000.0,-7406000.0,Y,Y,MAS (자동추론)
1298623254,주식회사 제노시스,베어본컴퓨터,R25TB00920334,20260122,1월,-7406000.0,-7406000.0,Y,Y,MAS (자동추론)
1298623254,주식회사 제노시스,액정모니터,R25TB00920334,20260122,1월,-7406000.0,-7406000.0,Y,Y,MAS (자동추론)
1298623254,주식회사 제노시스,네트워크스위치,R25TB00920334,20260122,1월,-6752000.0,-6752000.0,Y,Y,MAS (자동추론)
1298623254,주식회사 제노시스,네트워크시스템장비용랙,R25TB00920334,20260122,1월,-1497000.0,-1497000.0,Y,Y,MAS (자동추론)
1298623254,주식회사 제노시스,네트워크시스템장비용랙,R25TB00920334,20260122,1월,949000.0,949000.0,Y,Y,MAS (자동추론)
1298623254,주식회사 제노시스,카메라브래킷,R25TB00920334,20260122,1월,-106000.0,-106000.0,Y,Y,MAS (자동추론)
1138645971,주식회사 포딕스시스템,금속상자,R25TB00998814,20260130,1월,-22824000.0,-22824000.0,Y,N,우수조달/일반경쟁
1138645971,주식회사 포딕스시스템,광점퍼코드,R25TB00998814,20260130,1월,-22824000.0,-22824000.0,Y,N,우수조달/일반경쟁
1138645971,주식회사 포딕스시스템,전원공급장치,R25TB00998814,20260130,1월,-1096000.0,-1096000.0,Y,N,우수조달/일반경쟁
1138645971,주식회사 포딕스시스템,스위칭모드전원공급장치,R25TB00998814,20260130,1월,-740000.0,-740000.0,Y,N,우수조달/일반경쟁
1138645971,주식회사 포딕스시스템,누전차단기,R25TB00998814,20260130,1월,-458000.0,-458000.0,Y,N,우수조달/일반경쟁
1138645971,주식회사 포딕스시스템,하드디스크드라이브,R25TB00998814,20260130,1월,-1214000.0,-1214000.0,Y,N,우수조달/일반경쟁
1138645971,주식회사 포딕스시스템,광송수신모듈,R25TB00998814,20260130,1월,-22824000.0,-22824000.0,Y,N,우수조달/일반경쟁
1138645971,주식회사 포딕스시스템,네트워크스위치,R25TB00998814,20260130,1월,-22824000.0,-22824000.0,Y,N,우수조달/일반경쟁
